ページパス	合計PV	01/05	01/12	01/19	01/26	02/02	02/09	02/16	02/23
/campus/6271/	7911	1132	1089	1029	1044	1126	815	806	870
/campus/6288/	4034	608	491	496	560	513	454	519	393
/campus/5423/	3836	669	560	538	602	479	427	218	343
/campus/6380/	3423	385	386	641	607	514	366	226	298
/campus/24216/	3366	372	573	493	526	458	308	297	339
/	2871	370	314	397	369	347	296	423	355
/campus/18292/	2848	339	296	290	411	414	316	373	409
/campus/1637/	2730	315	336	341	418	367	323	282	348
/campus/9837/	2655	287	368	380	357	393	337	290	243
/campus/6369/	2654	278	283	263	347	371	359	383	370
/campus/10673/	2609	205	169	297	463	474	285	315	401
/campus/	2467	459	486	290	223	248	274	277	210
/campus/6289/	2307	295	326	298	365	314	245	199	265
/campus/6359/	2239	254	289	265	304	362	288	251	226
/campus/10507/	2213	216	1072	513	177	97	66	37	35
/campus/10330/	2066	302	306	262	308	293	197	208	190
/campus/11626/	1648	43	468	695	157	80	129	41	35
/campus/10304/	1626	177	140	142	235	276	209	223	224
/campus/13760/	1604	254	230	153	214	314	178	110	151
/campus/23869/	1515	201	232	270	234	219	175	99	85
/campus/25569/	1400	302	238	193	125	125	113	160	144
/campus/1696/	1400	126	139	166	202	190	208	157	212
/campus_list/	1356	211	195	116	187	187	170	122	168
/campus/37257/	1301	149	128	162	188	227	144	156	147
/campus/6278/	1138	183	192	172	194	126	134	92	45
/campus/5922/	1112	171	164	140	138	128	137	105	129
/campus/37255/	1025	105	118	101	123	140	125	126	187
/campus/4980/	1019	131	110	139	183	161	113	86	96
/campus/37241/	1018	84	84	112	162	201	158	119	98
/campus/5504/	1013	112	112	99	131	184	130	133	112
/campus/6106/	979	149	118	133	172	129	111	66	101
/campus/12287/	978	114	144	135	132	132	118	88	115
/campus/25667/	976	104	75	149	134	124	123	138	129
/campus/23598/	974	132	101	100	221	151	136	68	65
/campus/15729/	971	116	96	147	185	142	130	59	96
/campus/16508/	946	173	99	110	145	127	99	102	91
/campus/6245/	926	190	139	124	98	182	73	38	82
/campus/6292/	922	115	102	76	109	89	100	68	263
/campus/1638/	918	123	97	74	142	157	137	97	91
/campus/23620/	905	160	118	94	140	116	97	86	94
/campus/37264/	879	84	86	82	146	159	115	99	108
/campus/25669/	878	153	99	115	106	108	84	79	134
/campus/8558/	837	133	116	123	127	102	79	55	102
/campus/6279/	824	153	129	135	132	107	83	54	31
/campus/15728/	821	91	103	90	126	103	110	92	106
/diagnosis/	810	105	107	97	101	143	88	72	97
/campus/6194/	805	92	112	89	154	107	90	78	83
/campus/37221/	795	92	65	77	125	107	128	100	101
/campus/10300/	788	65	84	88	125	84	84	118	140
/campus/10318/	776	98	93	84	106	96	117	86	96
